,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,1553196,1539529,1531364,1277876,2579660,2644777.64552,3102121.87877,4137191.66009,2695344.62262,2720653.66023,2605864.5018
부산광역시,2801555,2776457,2693298,1848762,2457506,2631476.41908,2686083.56698,2632118.60447,2468590.87887,2435896.94682,2509821.68817
대구광역시,874495,946833,976578,1479501,1380566,1442520.68261,1273270.83739,1291985.53667,1316818.54588,1038013.5871,1009100.00924
인천광역시,1910886,1673071,1697011,1439796,2729512,2469830.01977,3141421.27237,2658392.28673,2457217.68497,2329945.20971,2316291.24709
광주광역시,373723,433788,407608,318005,576327,632512.94093,669670.11768,542661.1711,583465.80287,540534.14428,487303.69651
대전광역시,516985,431952,431991,343475,656011,625542.005,638062.04378,659251.75881,553577.86384,499238.83961,512594.08022
울산광역시,2433638,2601947,2633442,2429804,2986783,2361249.67151,2087814.94983,2117728.65065,1978944.56631,1878658.1292,1969986.56928
경기도,5029908,5148662,5606211,5135469,10836427,11479646.58479,10767788.90971,10353098.08743,9444035.5126,8991320.67329,8858628.39137
강원도,24306077,2295155,2156545,3160628,5176849,4069260.09547,4085125.3395,3983012.25793,4006295.59473,3455878.13274,3461729.52433
충청북도,2968371,2195859,2002412,2759626,4489835,3908400.691,3760473.04863,3568621.1083,3377136.9161,3160513.83566,3165368.38755
충청남도,4315546,17742509,17698409,9265787,13844754,7363825.88803,6539930.01498,7419280.01783,6062756.81835,5774053.58788,5394064.92653
전라북도,2105236,1506023,1420684,1194534,3282022,3358404.8285,3319437.82299,3216697.94014,3237880.81527,3011352.08166,2789283.02911
전라남도,17457182,11606837,12387981,13833152,16140470,6674099.88995,6741042.38715,6587048.20101,6592867.6145,6252200.00612,6176505.83604
경상북도,10966702,18543283,18546289,12895148,21255289,9514755.5472,8327784.08833,8745221.04148,7686566.93568,7892413.86189,7405397.03151
경상남도,3667876,6131122,5856664,2665186,6107309,5620339.17319,5018426.26886,4696416.95805,4279441.32744,3940349.08872,3851455.30203
제주특별자치도,511937,398713,440391,392865,1047952,1400054.08504,1257830.34084,1266739.07038,1220286.1913,1199566.6446,1247898.98511